,0
112,La aplicación francesa #StopCovid para rastrear contactos en caso de contagio con el nuevo coronavirus “superó el umbral del millón de usuarios”. La app permite a los usuarios ser informados si cruzaron en las últimas dos semanas a otro usuario contagiado de coronavirus. https://t.co/BMZKCIfOEU
113,"#Noticias #Ecuador
WASHINGTON.- El presidente de Estados Unidos, Donald Trump, celebró este viernes que la peor parte de la pandemia del coronavirus ya quedó atrás.
“Teníamos la mayor economía de la historia. Leer más https://t.co/PCtQxSbGQD https://t.co/vwrkeeajOH"
114,"🌎#ElMundo | Según las autoridades sanitarias chilenas hay alrededor de 1.448 víctimas mortales y 122.499 casos confirmados con #coronavirus desde el inicio del brote el pasado 3 de marzo. Los detalles ⬇  

https://t.co/iwmDCwAwth"
115,Diario de un confinamiento VIII: la estrategia de las marcas frente a la crisis del coronavirus https://t.co/YJlPV7oLgp https://t.co/o7zOayoXBA
116,Coronavirus: un estudio indica que podría afectar más a los hombres con calvicie https://t.co/8gzEXokQv0 a través de @YahooNoticias
117,"¡Atención! El nuevo coronavirus ha provocado al menos 395.977 muertos en el mundo desde que apareció en diciembre del 2019, según fuentes oficiales. Estados Unidos lidera la cifra con 109.143 fallecidos. https://t.co/GVIoUKMtS4"
118,Una herramienta online que informa las restricciones de los países por el coronavirus https://t.co/MxYivubr3v
119,"SOLO PERIODISMO: Cómo cambió el coronavirus el trabajo de los periodistas
https://t.co/PB6SIfQrxh"
120,"SOLO PERIODISMO: Al menos 127 periodistas han muerto de coronavirus en 31 países
https://t.co/9gFM5KNahe"
121,"De esta manera, en Rusia se ha detectado un total de 458.689 casos positivos y 5.725 personas han muerto de coronavirus desde el inicio del brote.
Además, otros 8.708 pacientes se han recuperado de la enfermedad, aumentando el total a 221.388."
122,"Las autoridades sanitarias de Rusia han confirmado 8.855 nuevos casos de coronavirus en el país, en comparación con los 8.726 detectados el día anterior, y 197 muertes frente a las 144 que se reportaron el viernes. https://t.co/hmhl3BNDhk"
123,"SOLO PERIODISMO. Coronavirus: El periodismo y los medios, más necesarios que nunca
https://t.co/3MHlCWAhPe"
